# Rime user dictionary
#@/db_name	wubixinshiji
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1920
#@/user_id	macbookpro
eeig 	月光	c=1 d=1 t=1076
efsg 	脚本	c=1 d=1 t=156
egc 	县	c=1 d=1 t=257
eh 	用	c=9 d=3.35856 t=1827
ehgo 	用来	c=1 d=1 t=1861
ehif 	用法	c=1 d=1 t=1814
ehyn 	用户	c=2 d=1.1028 t=1417
ek 	加	c=4 d=1.01678 t=1858
ekaa 	加工	c=1 d=1 t=1709
ekdj 	加厚	c=1 d=1 t=879
ekhg 	加上	c=2 d=1.12307 t=1962
ektb 	脱口秀	c=1 d=1 t=1021
en 	力	c=1 d=1 t=78
enu 	鼠	c=2 d=0.985112 t=1920
epc 	受	c=1 d=1 t=1679
epd 	爱	c=1 d=1 t=601
epwt 	受伤	c=1 d=1 t=1690
etkk 	服务器	c=2 d=1.24414 t=1545
eudy 	朕	c=24 d=7.32357 t=1410
ewgj 	办理	c=1 d=1 t=967
fagg 	霸王	c=1 d=1 t=1805
fb 	地	c=1 d=1 t=1741
fbar 	地区	c=1 d=1 t=1143
fblt 	地图	c=2 d=1.07502 t=1705
fc 	去	c=1 d=1 t=749
fcdy 	动态	c=3 d=1.13977 t=1805
fce 	动	c=1 d=1 t=1063
fcfm 	云南	c=1 d=1 t=582
fciy 	云游	c=1 d=1 t=933
fcrf 	支持	c=1 d=1 t=1672
fcte 	云盘	c=2 d=1.21225 t=413
fctg 	运行	c=5 d=2.9218 t=1948
fcu 	云	c=2 d=1.00019 t=1807
fcu 	去	c=1 d=1 t=1729
fdsv 	需要	c=6 d=3.15896 t=1861
ff 	土	c=1 d=1 t=260
ffi 	款	c=1 d=1 t=809
ffuk 	墙	c=1 d=1 t=969
fg 	二	c=1 d=1 t=726
fgh 	十	c=3 d=1.5104 t=753
fguq 	二次	c=1 d=1 t=707
fhbc 	趣	c=1 d=1 t=1315
fhhk 	起点	c=1 d=1 t=389
fhjf 	越野	c=1 d=1 t=1861
fhr 	赵	c=1 d=1 t=321
fhrq 	真的	c=1 d=1 t=1121
fhu 	走	c=1 d=1 t=952
fhvk 	超	c=1 d=1 t=291
fhw 	真	c=4 d=1.99355 t=1619
fifa 	都江堰	c=2 d=1.956 t=339
figo 	未来	c=7 d=3.48945 t=235
fii 	未	c=1 d=1 t=649
fjdq 	坦克	c=4 d=2.29653 t=1893
fjoa 	进度	c=1 d=1 t=1713
fjp 	进	c=1 d=1 t=1399
fkhk 	露	c=2 d=1.9802 t=1101
fkue 	彭	c=1 d=1 t=211
fkuk 	嘉	c=1 d=1 t=1190
flf 	雷	c=1 d=1 t=1009
fljn 	雷电	c=6 d=1.07466 t=1003
flpy 	雷神	c=7 d=0.335477 t=1010
fmrc 	南瓜	c=2 d=1.64726 t=1081
fmsb 	南极	c=3 d=1.11672 t=1194
fmy 	坝	c=1 d=1 t=38
fnog 	专业	c=1 d=1 t=15
fnr 	声	c=1 d=1 t=328
fnu 	卖	c=1 d=1 t=1673
fp 	过	c=1 d=1 t=1900
fpad 	过期	c=3 d=2.79616 t=1447
fptk 	过程	c=1 d=1 t=1858
fpwg 	埃塞俄比亚	c=1 d=1 t=1764
fq 	无	c=8 d=3.79829 t=1184
fqai 	远东	c=1 d=1 t=1602
fqbv 	无限	c=1 d=1 t=1857
fqfd 	无需	c=1 d=1 t=1703
fqpw 	无穷	c=2 d=1.71534 t=80
fqqk 	无名	c=1 d=1 t=1133
fqtk 	远程	c=3 d=2.06276 t=1669
ft 	才	c=2 d=1.00499 t=1801
ftih 	老婆	c=1 d=1 t=524
ftip 	教学	c=1 d=1 t=897
ftjb 	都	c=5 d=1.35148 t=1903
ftux 	老弟	c=1 d=1 t=426
ftx 	老	c=2 d=1.0382 t=961
fwlt 	截图	c=1 d=1 t=593
fwmj 	规则	c=1 d=1 t=1840
fwwa 	替代	c=2 d=1.18452 t=1858
fwy 	零	c=1 d=1 t=222
g 	一	c=9 d=2.80127 t=1883
gaaj 	开幕	c=1 d=1 t=1270
gaid 	开源	c=2 d=1.06111 t=1824
gaud 	开关	c=1 d=1 t=1853
gavc 	开始	c=2 d=1.0319 t=912
gc 	到	c=11 d=2.10998 t=1752
gcf 	至	c=1 d=1 t=335
gcg 	玛	c=1 d=1 t=508
gd 	天	c=3 d=1.04065 t=1638
gdfu 	环境	c=3 d=1.78738 t=1894
gdgh 	天下	c=1 d=1 t=1183
gdh 	环	c=1 d=1 t=1619
gdrn 	天气	c=1 d=1 t=934
ge 	表	c=1 d=1 t=1594
gef 	青	c=1 d=1 t=62
gege 	青青	c=1 d=1 t=65
gelf 	静默	c=2 d=1.93239 t=1701
gf 	于	c=3 d=1.00489 t=1916
gfq 	玩	c=2 d=1.99005 t=1721
ggdj 	一百	c=2 d=1.97531 t=289
ggg 	王	c=3 d=1.03786 t=1140
gggm 	一再	c=1 d=1 t=733
ggsu 	一样	c=3 d=1.46096 t=1905
ggtk 	一种	c=2 d=1.92774 t=1864
ggtt 	五笔	c=2 d=0.980199 t=1920
gguq 	一次	c=1 d=1 t=693
ggwh 	一个	c=2 d=1.00183 t=1774
ggws 	一体	c=2 d=1.97045 t=150
ggxt 	一张	c=1 d=1 t=720
gh 	下	c=6 d=1.69388 t=1895
ghd 	正	c=2 d=1.01105 t=1071
ghfl 	下载	c=4 d=1.03241 t=1304
ghiv 	正当	c=1 d=1 t=1362
ghmj 	正则	c=5 d=3.41557 t=521
ghuq 	下次	c=2 d=1.00083 t=1760
gi 	求	c=1 d=1 t=72
gigi 	求救	c=1 d=1 t=380
giy 	救	c=1 d=1 t=909
gjek 	更加	c=1 d=1 t=1802
gjf 	理	c=1 d=1 t=939
gjr 	更	c=2 d=1.99005 t=455
gjus 	更新	c=1 d=1 t=1798
gkih 	整	c=1 d=1 t=680
gkoa 	速度	c=2 d=1.12124 t=1292
gkp 	带	c=1 d=1 t=1549
gkwt 	事件	c=1 d=1 t=444
gmf 	再	c=5 d=1.02904 t=1884
gmgd 	珊瑚	c=1 d=1 t=628
gmwh 	两个	c=2 d=1.21119 t=1765
gmww 	两	c=1 d=1 t=1478
gmy 	丽	c=1 d=1 t=207
gn 	与	c=2 d=1.01434 t=1812
gnpp 	与之	c=1 d=1 t=1789
go 	来	c=6 d=1.05037 t=1964
gog 	亚	c=1 d=1 t=1094
gpq 	琬	c=1 d=1 t=534
gqj 	列	c=9 d=5.363 t=1911
gqx 	死	c=1 d=1 t=1075
gria 	珠江	c=1 d=1 t=57
gsjj 	末日	c=2 d=1.29376 t=525
gsnt 	末尾	c=1 d=1 t=1544
guck 	平台	c=1 d=1 t=648
h 	上	c=7 d=1.57678 t=1750
harn 	虚拟	c=1 d=1 t=1529
hauy 	虎门	c=1 d=1 t=97
haw 	虎	c=1 d=1 t=868
haxn 	虚幻	c=1 d=1 t=1056
hd 	非	c=1 d=1 t=1657
hdip 	非常	c=2 d=1.9802 t=831
hdiy 	非洲	c=3 d=2.1361 t=1767
hg 	上	c=1 d=1 t=1538
hgdm 	上面	c=1 d=1 t=1286
hgh 	卡	c=3 d=1.11098 t=895
hgit 	上海	c=4 d=3.93592 t=320
